group;object_id;index;name;req_type;resp_type;unit;description;enum_map
G_SYNC;0xDB2D69AE;767;g_sync.p_ac_sum_lp;FLOAT;FLOAT;W;AC power;
DC_CONV;0xDB45ABD0;768;dc_conv.dc_conv_struct[0].rescan_correction;FLOAT;FLOAT;V;Last global rescan MPP correction on input A;
NET;0xDB62DCB7;769;net.n_devices;UINT8;UINT8;;;
POWER_MNG;0xDC667958;770;power_mng.state;UINT8;UINT8;;Battery state machine;
G_SYNC;0xDCA1CF26;771;g_sync.s_ac_sum_lp;FLOAT;FLOAT;VA;Apparent power;
G_SYNC;0xDCAC0EA9;772;g_sync.i_dr_lp[1];FLOAT;FLOAT;A;Current phase 2 (average);
BATTERY;0xDD5930A2;773;battery.cells_stat[0].t_min.index;UINT8;UINT8;;;
FLASH_RTC;0xDD90A328;774;flash_rtc.time_stamp_update;UINT32;UINT32;;Last update date;
OTHERS;0xDDD1C2D0;775;svnversion;STRING;STRING;;Control software version;
ENERGY;0xDE17F021;776;energy.e_grid_load_year;FLOAT;FLOAT;Wh;Year energy grid load;
BAT_MNG_STRUCT;0xDE68F62D;777;bat_mng_struct.profile_pext;STRING;STRING;;;
BATTERY;0xDE9CBCB0;778;battery.cells_stat[5].t_max.value;FLOAT;FLOAT;;;
BATTERY;0xDEE1957F;779;battery.cells_resist[4];BATTERY_MODULE_RESISTANCE;BATTERY_MODULE_RESISTANCE;;;
BATTERY;0xDF0A735C;780;battery.maximum_discharge_current;FLOAT;FLOAT;A;Max. discharge current;
BAT_MNG_STRUCT;0xDF6EA121;781;bat_mng_struct.profile_pdc;STRING;STRING;;;
DB;0xDFB53AF3;782;db.power_board.Current_Mean_Mean_AC;FLOAT;FLOAT;;;
BATTERY;0xDFF966E3;783;battery.cells_stat[6].t_min.index;UINT8;UINT8;;;
LOGGER;0xE04C3900;784;logger.day_eac_log_ts;INT32;TIMESERIES;;;
CS_MAP;0xE0E16E63;785;cs_map[0];UINT8;UINT8;;Associate current sensor 0 with phase L;
OTHERS;0xE14B8679;786;i_dc_slow_max;FLOAT;FLOAT;A;Max. slow DC-component of Iac;
BATTERY_PLACEHOLDER;0xE14F1CBA;787;battery_placeholder[0].cells_stat[4];STRING;STRING;;;
BATTERY_PLACEHOLDER;0xE19C8B79;788;battery_placeholder[0].cells_resist[1];STRING;STRING;;;
FRT;0xE1F49459;789;frt.t_min[2];FLOAT;FLOAT;s;Point 3 time;
POWER_MNG;0xE24B00BD;973;power_mng.schedule[7]??;STRING;STRING;;;
POWER_MNG;0xE24B00BD;790;power_mng.schedule[1];STRING;STRING;;;
NSM;0xE271C6D2;791;nsm.u_q_u[2];FLOAT;FLOAT;V;High voltage min. point;
LOGGER;0xE29C24EB;792;logger.minutes_eac3_log_ts;INT32;TIMESERIES;;;
PRIM_SM;0xE31F8B17;793;prim_sm.Uzk_pump_grad[0];FLOAT;FLOAT;W;start power;
ACC_CONV;0xE3F4D1DF;794;acc_conv.i_max;FLOAT;FLOAT;A;Max. battery converter current;
NSM;0xE49BE3ED;795;nsm.pf_rise_grad;FLOAT;FLOAT;P/(Pn*s);Power increase gradient after P(f) restriction;
LOGGER;0xE4DC040A;796;logger.month_eext_log_ts;INT32;TIMESERIES;;;
IO_BOARD;0xE52B89FA;798;io_board.home_relay_off_threshold;FLOAT;FLOAT;W;Switching off threshold;
LOGGER;0xE5FBCC6F;799;logger.year_eload_log_ts;INT32;TIMESERIES;;;
HW_TEST;0xE6248312;800;hw_test.bt_power[8];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0xE635A6C4;801;battery_placeholder[0].module_sn[2];STRING;STRING;;Module 2 Serial Number;
FLASH_PARAM;0xE63A3529;802;flash_result;UINT16;UINT16;;Flash result;
OTHERS;0xE6AC95E5;605;phase_shift_threshold;UINT32;UINT32;;Detection threshold;
NSM;0xE6F1CB83;803;nsm.pu_ts;FLOAT;FLOAT;s;Time const for filter;
BATTERY;0xE7177DEE;804;battery.cells_stat[2].u_max.value;FLOAT;FLOAT;;;
BATTERY;0xE7B0E692;805;battery.bat_impedance.impedance_fine;FLOAT;FLOAT;;Battery circuit impedance;
BATTERY_PLACEHOLDER;0xE87B1F4B;806;battery_placeholder[0].cells_stat[0].u_min.value;FLOAT;FLOAT;;;
G_SYNC;0xE94C2EFC;807;g_sync.q_ac[0];FLOAT;FLOAT;var;Reactive power phase 1;
NSM;0xE952FF2D;808;nsm.q_u_max_u_low_rel;FLOAT;FLOAT;;Qmax at lower voltage level relative to Smax (positive = overexcited);
IO_BOARD;0xE96F1844;809;io_board.s0_external_power;FLOAT;FLOAT;;;
POWER_MNG;0xE9BBF6E4;810;power_mng.amp_hours_measured;FLOAT;FLOAT;Ah;Measured battery capacity;
BATTERY_PLACEHOLDER;0xEA399EA8;811;battery_placeholder[0].min_cell_voltage;FLOAT;FLOAT;;;
BATTERY;0xEA77252E;812;battery.minimum_discharge_voltage_constant_u;FLOAT;FLOAT;V;Min. discharge voltage;
ENERGY;0xEAEEB3CA;813;energy.e_dc_month_sum[0];FLOAT;FLOAT;;;
BATTERY;0xEB4C2597;814;battery.cells_resist[6];BATTERY_MODULE_RESISTANCE;BATTERY_MODULE_RESISTANCE;;;
NSM;0xEB7773BF;815;nsm.p_u[1][1];FLOAT;FLOAT;V;Point 2 voltage;
BATTERY_PLACEHOLDER;0xEB7BCB93;816;battery_placeholder[0].bms_sn;STRING;STRING;;BMS Serial Number;
OTHERS;0xEBC62737;817;android_description;STRING;STRING;;Device name;
GRID_MON;0xEBF7A4E8;818;grid_mon[0].f_over.threshold;FLOAT;FLOAT;Hz;Max. frequency level 1;
SWITCH_ON_COND;0xECABB6CF;819;switch_on_cond.test_time;FLOAT;FLOAT;;Test time;
NSM;0xEE049B1F;820;nsm.pf_hysteresis;BOOL;BOOL;;Hysteresis mode;
BATTERY;0xEEA3F59B;821;battery.stack_software_version[5];UINT32;UINT32;;Software version stack 5;
BATTERY_PLACEHOLDER;0xEEC44AA0;822;battery_placeholder[0].cells_stat[2].u_min.index;UINT8;UINT8;;;
BATTERY;0xEECDFEFC;823;battery.cells_stat[2].u_min.value;FLOAT;FLOAT;;;
GRID_MON;0xEF89568B;824;grid_mon[0].u_under.time;FLOAT;FLOAT;s;Min. voltage switch-off time level 1;
BATTERY;0xEFD3EC8A;825;battery.cells_stat[5].t_min.time;UINT32;UINT32;;;
ENERGY;0xEFF4B537;826;energy.e_load_total;FLOAT;FLOAT;Wh;Household total energy;
BATTERY;0xF044EDA0;828;battery.cells_stat[3].t_max.value;FLOAT;FLOAT;;;
DB;0xF0527539;829;db.power_board.adc_p3V3_meas;FLOAT;FLOAT;;;
GRID_MON;0xF09CC4A2;830;grid_mon[1].u_over.time;FLOAT;FLOAT;s;Max. voltage switch-off time level 2;
BAT_MNG_STRUCT;0xF0A03A20;831;bat_mng_struct.k;FLOAT;FLOAT;;Forecast correction;
G_SYNC;0xF0B436DD;832;g_sync.p_ac_load[2];FLOAT;FLOAT;W;Load household phase 3;
ENERGY;0xF0BE6429;833;energy.e_load_month;FLOAT;FLOAT;Wh;Household month energy;
POWER_MNG;0xF1342795;834;power_mng.stop_discharge_current;FLOAT;FLOAT;A;Stop discharge current;
